id	organization	documents	citations	total link strength
496	diskapi ylidirim beyazit educ & res hosp	1	0	2
497	diyarbakir childrens hosp	1	0	1
498	diyarbakir matern & childrens hosp	1	5	6
499	diyarbakir mil hosp	1	9	1
500	diyarbakir pediat & obstet gynecol hosp	1	1	2
501	dokuz eylul univ	185	1197	327
502	dokuz eylul univ hosp	3	52	0
503	dokuz eylul unıv	2	7	0
504	donauspital smzo	2	1	51
505	douglass hanly moir pathol cytol	1	16	26
506	dr abdurrahman yurtarslan ankara oncol educ & res	1	2	3
507	dr abdurrahman yurtaslan ankara oncol educ & res	3	12	5
508	dr abdurrahman yurtaslan ankara oncol training &	1	3	2
509	dr abdurrahman yurtaslan ankara onkol training &	1	1	19
510	dr abdurrahman yurtaslan oncol educ & res hosp	2	0	4
511	dr abdurrahman yurtaslan training & res hosp	1	4	10
512	dr ay ankara oncol training & res hosp	1	0	4
513	dr behcet uz child dis & pediat surg training & r	1	5	4
514	dr behcet uz children res hosp ızmir	1	0	1
515	dr behcet uz children training & res hosp	1	0	1
516	dr behcet uz childrens hosp	5	8	5
517	dr behcet uz childrens res hosp	2	6	1
518	dr behcet uz chioldren res hosp	1	0	0
519	dr burhan nalbantoglu state hosp	1	0	2
520	dr lutfi kartal educ & res hosp	1	0	2
521	dr lutfi kartal res & training hosp	1	0	2
522	dr lutfi kirdar educ & res hosp	1	0	1
523	dr lutfi kirdar kartal educ & res hosp	22	14	8
524	dr lutfi kirdar kartal educat & res hosp	2	0	0
525	dr lutfi kirdar kartal egitim & arastirma hastane	1	1	0
526	dr lutfi kirdar kartal res & training hosp	6	0	7
527	dr lutfi kirdar kartal res &n training hosp	1	0	1
528	dr lutfi kirdar kartal training & res hosp	4	13	28
529	dr lutfi kirdar res & educ hosp	2	25	5
530	dr lutfi kirdar training & res hosp	1	1	19
531	dr lutfu kirdar kartal training & res hosp	1	0	1
532	dr margarete fischer bosch ınst clin pharmacol	2	31	23
533	dr nafiz korez publ hosp	1	3	2
534	dr nafiz korez sincan govt hosp	1	0	1
535	dr ridvan ege hosp	2	5	4
536	dr sadi konuk training & res hosp	2	0	0
537	dr sami ulus matern & children res & training hos	1	5	0
538	dr sami ulus matern & children training & res hos	1	1	0
539	dr sami ulus res & training hosp womens & childre	1	0	5
540	dr suat seren chest dis & thorac surg training &	1	3	1
541	dublin city univ	1	30	6
542	dubrava univ hosp	1	10	10
543	duke univ	7	64	65
544	duluth clin	1	0	28
545	dumlupinar univ	4	32	6
546	dumlupinor univ evliya celebi erh	1	0	35
547	duysel audiol ctr	1	50	22
548	duzce univ	22	57	13
549	duzce univ med fac	1	33	1
550	dyyarbakyr hosp	1	0	0
551	dıcle unıv	1	0	0
552	dırect affaıres sanıt & socıales parıs	1	66	3
553	e cytopathol	1	4	2
554	earth & marine sci res ınst	2	43	4
555	eastern mediterranean univ	2	36	3
556	eastern medıterranean unıv	1	0	0
557	ecole natl super mines	1	19	10
558	edirne state hosp	1	0	1
559	educ & res hosp	2	4	2
560	efs	2	2	34
561	efs auvergne loire	1	1	31
562	efs rhone alpes	1	1	31
563	ege dogumevi kadin hastaliklari egitim hastanesi	1	0	0
564	ege hosp	1	11	1
565	ege uni	1	0	11
566	ege univ	211	1096	225
567	ege univ bornova	1	9	3
568	ege univ sch med	1	15	1
569	ege unıv	5	36	1
570	egirdir bone joint dis treatment & rehabil hosp	1	0	3
571	egirdir bone joint dis treatnient & rehabil hosp	1	9	1
